id,level,board,duration
87,BA (Hons) in Business and Hospitality Management (BABHM),"Nilai University, Malaysia",4 years
88,Masters in Counseling Psychology (MCP),Tribhuvan University,2 years
89,Bachelor of Mountain Tourism Management (BMTM),Tribhuvan University,4 years
90,Master of Business Administration (MBA),"University of Northampton, UK",2 years
91,Bachelor of Business Administration (BBA),"University of Northampton, UK",3 years
92,BSc (Hons) in Information Technology (BSc IT),Asia Pacific University of Technology & Innovation,3 years
93,BSc (Hons) in Computer Science & Software Engineering,University of Bedfordshire,3 years
94,Bachelor in Business Administration (Hons) (BBA),University of Bedfordshire,3 years
95,BSc IT Network Computing,Asia Pacific University of Technology & Innovation,3 years
96,Bachelor of Business Management (Hons),Asia Pacific University of Technology & Innovation,3 years
97,MSc in Information Technology (MSc IT),Asia Pacific University of Technology & Innovation,2 years
98,Master of Business Administration (MBA),Asia Pacific University of Technology & Innovation,2 years
99,BBM (Hons) - E Business,Asia Pacific University of Technology & Innovation,3 years
100,BSc (Hons) Network Engineering,"University of Northampton, UK",3 years
101,BSc (Hons) Software Engineering,"University of Northampton, UK",3 years
102,MBA Entrepreneurship,"Westcliff University, CA, USA",2 years
103,MBA Nonprofit,"Westcliff University, CA, USA",2 years
104,MBA Agribusiness,"Westcliff University, CA, USA",2 years
105,BBA Digital Marketing,"Westcliff University, CA, USA",4 years
106,BBA Investment and Economics,"Westcliff University, CA, USA",4 years
107,Bachelor of Hotel Management (BHM),Mid-West University,4 years
108,Bachelor of Travel and Tourism Management (BTTM),Mid-West University,4 years
109,BSc (Hons) Computing,"Coventry University, UK",3 years
110,BSc (Hons) Ethical Hacking and Cybersecurity,"Coventry University, UK",3 years
111,MSc in Information System Engineering,Pokhara University,2 years
112,MBA (Graduate),"Leeds Beckett University, UK",2 years
113,MSc Information and Technology,"Leeds Beckett University, UK",2 years
114,FHS Diploma in Travel and Tourism Management (BTTM),Salzburg University of Applied Sciences,3 years
115,MBA Technology and Innovation,"Westcliff University, CA, USA",2 years
116,MBA Hospitality Management,Tribhuvan University,2 years
117,BSc (Hons) Hospitality Business Management (BHM),"Leeds Beckett University, UK",4 years
118,BSc Information Technology (BSc IT),"Westcliff University, CA, USA",4 years
119,MSc in Information Technology (MScIT),"Westcliff University, CA, USA",2 years
120,MSc in Information Technology Weekend (MSc. ITM),Asia Pacific University of Technology & Innovation,2 years
121,Master of Business Administration (Weekend) (MBA-Weekend),Asia Pacific University of Technology & Innovation,2 years
122,BSc (Hons) CSSE with Micro degree in AI,University of Bedfordshire,3 years
123,BBA Applied Arts and Design,"Westcliff University, CA, USA",4 years
124,Bachelor in International Culinary Arts,Queen Margaret University (UK),4 years
125,Bachelor of Information Technology with Technopreneurship (Hons) (BIT Techno(Hons)),"Limkokwing University, Malaysia",3 years
126,BSc (Hons) in Information Technology (B.Sc. (Hons) IT),"Limkokwing University, Malaysia",3 years
127,BSc (Hons) International Tourism and Hospitality Management (BHM),University of Sunderland,3 years
128,BSc (Hons) Computer Systems Engineering,University of Sunderland,3 years
129,BA (Hons) Business and Management (BBA),University of Sunderland,3 years
130,International Masters of Business Administration (MBA),Birmingham City University,2 years
131,BSc (Hons) Computing and Information Technology (BSc CIT),Birmingham City University,4 years
132,Bachelor of Business Finance (Hons) (BBA-F),HELP University,4 years
133,BSc (Hons) IT Cloud Engineering,Asia Pacific University of Technology & Innovation,3 years
134,BSIT Data Science,"Westcliff University, CA, USA",4 years
135,BSc (Hons) Cyber Security and Digital Forensics,"University of the West of England, UK",
136,Master of Computing Science (MSc Computing),"University of Northampton, UK",2 years
137,MBA Data Analytics,"Westcliff University, CA, USA",
138,BSc (Hons) Computer and Data Science (BCDS),Birmingham City University,4 years
139,BA (Hons) Marketing with Digital Communication,Birmingham City University,4 years
140,MSc Data Science and Computational Intelligence,"Coventry University, UK",
141,Bachelor of Information Technology (Hons) (BIT),HELP University,4 years
142,BSc (Hons) Computer Science - Artificial Intelligence,"University of the West of England, UK",4 years
143,MPhil in Education,Tribhuvan University,1 year 6 months
144,BE in Electrical and Electronics Engineering (BE Electrical),Kathmandu University,4 years
145,​BA (Hons) in Fashion and Retailing,"Limkokwing University, Malaysia",3 years
146,Foundations in Accountancy (FIA) (FIA),ACCA,1 year
147,​BA in Interior Architecture,"Limkokwing University, Malaysia",3 years
148,MD Dermatology,Kathmandu University,2 years
149,MS General Surgery,Tribhuvan University,3 years
150,Masters by Research in Energy and Infrastructure Law,Kathmandu University,2 years
151,Master of Information Technology (MIT),Tribhuvan University,2 years
152,Masters in Social Work (MSW),Tribhuvan University,2 years
153,Bachelor's Degree in Geomatics Engineering,Tribhuvan University,4 years
154,Bachelor of Engineering in Biomedical Engineering,Purbanchal University,4 years
155,MSc in Power System Engineering,Tribhuvan University,2 years
156,MSc Statistics,Tribhuvan University,2 years
157,MD in Obstetrics and Gynaecology,Tribhuvan University,3 years
158,DM Gastroenterology and Hepatology,BPKIHS,3 years
159,Master in Human and Natural Resource Studies,Kathmandu University,2 years
160,MA in Buddhist Studies (MA),Tribhuvan University,2 years
161,Pre-Diploma in Water Supply and Sanitation Engineering (Sanitation Sub-overseer),CTEVT,2 years 5 months
162,BSc in Biotechnology,Purbanchal University,4 years
163,Bachelor of Computer Application (BCA),Purbanchal University,4 years
164,MPhil by Research in Mathematics Education,Kathmandu University,1 year 6 months
165,"DM Pulmonary, Critical Care and Sleep Medicine",BPKIHS,3 years
166,MSc Clinical Microbiology,Tribhuvan University,3 years
167,BSc Nutrition and Dietetics,Tribhuvan University,4 years
168,MSc in Meat Technology,Purbanchal University,2 years
169,MSc in Water Resources Engineering,Tribhuvan University,2 years
170,"Master of Educational Sciences in Education, Planning and Management",Mid-West University,2 years
171,BSc in Computational Mathematics,Kathmandu University,4 years
172,Post Graduate Diploma in Computer Application (PGDCA),Purbanchal University,1 year
173,MS Clinical Otorhinolaryngology and Head and Neck Surgery,Tribhuvan University,3 years
174,BSc (Hons) International Business Management (BIBM),University of Wolverhampton,4 years
175,BSc (Hons) Computer Networking and IT Security,London Metropolitan University,3 years
176,MSc Biotechnology,Tribhuvan University,2 years
177,MSc Human Physiology,BPKIHS,3 years
178,MSc in Biodiversity and Environmental Management,Tribhuvan University,2 years
179,MCh GI Surgery,BPKIHS,3 years
180,Bachelor of Agriculture Engineering (BE),Tribhuvan University,4 years
181,DM Nephrology,Tribhuvan University,3 years
182,Pre-Diploma in Culinary Arts,CTEVT,1 year 6 months
183,Master of Computer Application (MCA),Purbanchal University,2 years
184,MSc in Rural Development Planning and Gender Studies,Purbanchal University,2 years
185,Master in Agri-Business Management,Purbanchal University,2 years
186,DM Nephrology,National Academy of Medical Sciences,3 years
187,Bachelor of Hotel Management (BHM),Purbanchal University,4 years
188,MSc Meteorology,Tribhuvan University,2 years
189,Master of Business Administration (MBA),Lincoln University College,2 years
190,MSc in Electrical Engineering in  Distributed Generation,Tribhuvan University,2 years
191,MCh Plastic and Burn,National Academy of Medical Sciences,3 years
192,Pre-Diploma in Civil Engineering (Civil Sub-Overseer) (Civil Sub-Overseer),CTEVT,1 year 3 months
193,PCL in Homeopathy,CTEVT,3 years
194,MSc in Structural Engineering,Pokhara University,2 years
195,MD Radiation Oncology,National Academy of Medical Sciences,3 years
196,DM Neurology,Kathmandu University,3 years
197,MSc in Infrastructure Engineering and Management,Tribhuvan University,2 years
198,Master of Business Administration (MBA),Mid-West University,2 years
199,"10+2 Management - National Examination Board and Tourism School Salzburg, Austria",Salzburg University of Applied Sciences,2 years
200,MPhil in Anthropology,Tribhuvan University,1 year 6 months
201,"Bachelor in Electronics, Communication and Automation Engineering",Purbanchal University,4 years
202,MSc in Communication and Knowledge Engineering,Tribhuvan University,2 years
203,MSc in Physiology,Kathmandu University,2 years
204,MSc Medical Imaging Technology (MSc MIT),Tribhuvan University,2 years
205,Master of Public Health (MPH),Patan Academy of Health Sciences,2 years
206,Pre-Diploma in Electronics Engineering (Electronics Sub-overseer),CTEVT,1 year 3 months
207,Bachelor of Hotel Management (BHM),Pokhara University,4 years
208,Bachelor of Arts in Journalism and Mass Communication (BAJM),Tribhuvan University,4 years
209,MS by Research in Biotechnology,Kathmandu University,2 years
210,Master Degree in Human Rights,Purbanchal University,1 year
211,BSc Medical Biochemistry,Pokhara University,4 years
212,Bachelor of Electrical Engineering (BE),Tribhuvan University,4 years
213,MD Hospital Administration,BPKIHS,3 years
214,MSc Anatomy,Kathmandu University,2 years
215,MSc in Watershed Management,Tribhuvan University,2 years
216,Master in Land Administration,Kathmandu University,2 years
217,Master of Laws (LLM),Purbanchal University,2 years
218,MA in Mass Communication and Journalism (MAMCJ),Purbanchal University,2 years
219,Post Graduate Diploma in School Counselling (PGDSC),Tribhuvan University,1 year
220,MD General Practice (MDGP),Tribhuvan University,3 years
221,MSc Clinical Biochemistry,Tribhuvan University,3 years
222,MSc in Botany,Tribhuvan University,2 years
223,BTech in Biotechnology,Purbanchal University,4 years
224,MBA in Global Leadership and Management (MBA),Tribhuvan University,2 years
225,MTech Food Technology,Tribhuvan University,2 years
226,MSc in Environmental Science and Management,Pokhara University,2 years
227,Bachelor of Computer Engineering,Purbanchal University,4 years
228,Master in Nursing (MN),National Academy of Medical Sciences,2 years
229,Bachelor in Industrial Engineering (BE),Tribhuvan University,4 years
230,MPhil in English Language Education,Kathmandu University,1 year 6 months
231,MS General Surgery,Kathmandu University,3 years
232,MCh Urology,Kathmandu University,3 years
233,Pre-Diploma in Electrical Engineering (Electrical Sub-overseer),CTEVT,2 years 5 months
234,Pre-Diploma in Mechanical Engineering (Mechanical Sub-overseer),CTEVT,2 years 5 months
235,Junior Computer Technician (JCT),CTEVT,1 year 3 months
236,MCh CTVS,Kathmandu University,3 years
237,MBBS,Tribhuvan University,5 years 6 months
238,Bachelor of Civil Engineering (BE Civil),Purbanchal University,4 years
239,MA in Music (MA Music),Tribhuvan University,2 years
240,Bachelor in Food and Dairy Technology,Purbanchal University,4 years
241,Pre-Diploma in Social Mobilization,CTEVT,1 year 3 months
242,MCh Urosurgery,BPKIHS,3 years
243,Masters in Media Technology (MMT),Purbanchal University,2 years
244,DM Gastroenterology,Kathmandu University,3 years
245,MEd in Leadership and Management,Kathmandu University,2 years
246,MSc Dairy Technology (MDT),Purbanchal University,2 years
247,Diploma in Information Technology (DIT),CTEVT,3 years
248,Bachelor of Mountaineering Studies (BMS),Tribhuvan University,4 years
249,Bachelor in Economics (BECON),Kathmandu University,4 years
250,MDS Community Dentistry,Kathmandu University,3 years
251,MSc in Regional Development Planning and Management,Purbanchal University,2 years
252,MS Clinical Anatomy,Tribhuvan University,
253,Master of Tourism Studies (MTS),Purbanchal University,2 years
254,Diploma in Hotel Management (DHM),CTEVT,3 years
255,MSc in Pharmacology,Kathmandu University,2 years
256,MDS Prosthodontics,Kathmandu University,3 years
257,Bachelor of Social Work (BSW),Kathmandu University,4 years
258,Pre-Diploma in Survey Engineering (AMIN),CTEVT,1 year 3 months
259,MEd in Mathematics Education,Kathmandu University,2 years
260,MD in General Practice and Emergency Medicine (MDGP),Patan Academy of Health Sciences,3 years
261,MBBS,Kathmandu University,5 years 6 months
262,Master of Business Administration (MBA),Kathmandu University,2 years
263,Masters in Landscapes Management and Heritage Studies (LaMHS),Kathmandu University,2 years
264,Master in Sustainable Development (MSD),Kathmandu University,2 years
265,Master of Public Administration (MPA),Tribhuvan University,2 years
266,Master in Dental Surgery (MDS),BPKIHS,3 years
267,MDS Prosthodontics,National Academy of Medical Sciences,3 years
268,MDS Periodontology and Oral Implantology,National Academy of Medical Sciences,3 years
269,BBA (Hons)/BBA (Emphasis),Kathmandu University,4 years
270,Bachelor of Business Administration (BBA),"Limkokwing University, Malaysia",4 years
271,Post Graduate Diploma in Healthcare Management (PGDHCM),Pokhara University,1 year
272,Bachelor of Health Care Management (BHCM),Pokhara University,4 years
273,MBA-Evening (MBA-EP),Pokhara University,2 years
274,MD Anaesthesiology,National Academy of Medical Sciences,3 years
275,BSc Medical Microbiology,Pokhara University,4 years
276,MD Psychiatry,National Academy of Medical Sciences,3 years
277,MS Oral and Head and Neck Surgery (ENT),National Academy of Medical Sciences,3 years
278,Bachelor of Electrical Engineering,Purbanchal University,4 years
279,Ten Plus Two in Electrical Engineering,National Examinations Board,2 years
280,BSc Applied Physics,Kathmandu University,4 years
281,MD Forensic Medicine,Kathmandu University,3 years
282,MS General Surgery,National Academy of Medical Sciences,3 years
283,MD Clinical Physiology,Tribhuvan University,3 years
284,Master of Travel and Tourism Management (MTTM),Tribhuvan University,2 years
285,MS Orthopedics,Patan Academy of Health Sciences,3 years
286,Bachelor in Automobile Engineering,Tribhuvan University,4 years
287,MDS Orthodontics (MDS Ortho),Tribhuvan University,3 years
288,DM Neurology,Tribhuvan University,3 years
289,BSc in Environmental Science,Kathmandu University,4 years
290,Diploma in Physiotherapy,CTEVT,3 years
291,Master of Public Health (MPH),Pokhara University,2 years
292,BSc Agriculture,Tribhuvan University,4 years
293,Bachelor of Fine Arts (BFA),Kathmandu University,4 years
294,MD Forensic Medicine,Tribhuvan University,3 years
295,Diploma in Culinary Arts,,1 year
296,MD Ayurveda (Kayachikitsa),Tribhuvan University,3 years
297,MA in Sanskrit (MA Sanskrit),Tribhuvan University,2 years
298,MA in Buddhism and Peace Studies,Lumbini Buddhist University,2 years
299,BSc Hons in Agriculture,Purbanchal University,4 years
300,MA in Buddhist Studies,Lumbini Buddhist University,2 years
301,MD Pediatrics,Patan Academy of Health Sciences,3 years
302,MDS Orthodontics,Kathmandu University,3 years
303,Diploma in Agriculture (Plant Science),CTEVT,3 years
304,BSc Environmental Science,Tribhuvan University,4 years
305,BSc Meteorology,Tribhuvan University,4 years
306,Bachelor of Software Engineering,Pokhara University,4 years
307,MDS Oral Pathology,Kathmandu University,3 years
308,BSc Agriculture (B.Sc Ag),Agriculture and Forestry University,4 years
309,Bachelor of Mechanical Engineering (BE),Tribhuvan University,4 years
310,Master of Business Administration (MBA),"​Infrastructure University, Kuala Lumpur",2 years
311,Diploma in Agriculture (Animal Science),CTEVT,3 years
312,MD Dermatology & Venereology,National Academy of Medical Sciences,3 years
313,BE in Geomatic Engineering (BE),Kathmandu University,4 years
314,MCh Urology,National Academy of Medical Sciences,3 years
315,MA in History (MA History),Tribhuvan University,2 years
316,Acharya,Nepal Sanskrit University,2 years
317,MBBS,Patan Academy of Health Sciences,5 years 8 months
318,MCh Neurosurgery,Tribhuvan University,3 years
319,MCh Plastic Surgery,Tribhuvan University,3 years
320,MA in Library Science,Tribhuvan University,2 years
321,MA in Hindi (MA Hindi),Tribhuvan University,2 years
322,MA in Home Science,Tribhuvan University,2 years
323,Bachelor of Arts Bachelor of Laws (BALLB),Tribhuvan University,5 years
324,MBBS,BPKIHS,5 years 6 months
325,Bachelor of Homeopathic Medicine and Surgery (BHMS),Purbanchal University,5 years 6 months
326,BSc Nursing,Pokhara University,4 years
327,Master of Public Administration (MPA),Purbanchal University,2 years
328,MPhil in Public Administration,Tribhuvan University,1 year 6 months
329,MD Dermatology,Tribhuvan University,3 years
330,MD Pathology,Tribhuvan University,3 years
331,Diploma in Biomedical Equipment Engineering (DBEE),CTEVT,1 year 6 months
332,PhD in Management,Kathmandu University,5 years
333,Bachelor of Technical Education Plant Science (B.Tech.Ed.),Kathmandu University,4 years
334,Master in Development Communication,Purbanchal University,2 years
335,Master in Social Work (MSW),Purbanchal University,2 years
336,Post Graduate Diploma in Buddhist Studies,Tribhuvan University,1 year
337,Master in Development Studies (MDS),Purbanchal University,2 years
338,Master of Pharmacy (M.Pharm),Pokhara University,2 years
339,Bachelor in Liberal Arts and Sciences (BLAS),Purbanchal University,4 years
340,MSc in Population and Rural Development (MSc PRD),Purbanchal University,2 years
341,MS General surgery,Patan Academy of Health Sciences,3 years
342,BSc Biochemistry,Pokhara University,4 years
343,MD Community Medicine,Kathmandu University,3 years
344,Master in Conflict and International Humanitarian Law,Purbanchal University,1 year
345,MA in Psychology (MA Psychology),Tribhuvan University,2 years
346,Bachelor of Laws (LLB),Tribhuvan University,3 years
347,Diploma in Obstetrics and Gynaecology (DGO),National Academy of Medical Sciences,1 year
348,Bachelor in International Hotel and Tourism Management,"International Management Institute, IMI, Switzerland",4 years
349,Diploma in Mechanical Engineering (DME),CTEVT,3 years
350,MD Obstetrics Gynaecology,Patan Academy of Health Sciences,
351,Bachelor of Technical Education in Livestock (B.Tech Ed),Kathmandu University,4 years
352,CAP - I,The Institute of Chartered Accountants of Nepal (ICAN),6 months
353,MSc in Energy System Planning and Management,Tribhuvan University,2 years
354,BSc in Forestry,Agriculture and Forestry University,4 years
355,Post Basic Bachelor in Nursing (BNS),Purbanchal University,3 years
356,MD Internal Medicine,Patan Academy of Health Sciences,
357,MA in Geography (MA Geography),Tribhuvan University,2 years
358,Post Basic Bachelor of Nursing (BNS),National Academy of Medical Sciences,3 years
359,Bachelor of Nursing (BN),BPKIHS,2 years
360,Diploma in Computer Hardware/Network Engineering,CTEVT,4 years
361,MBA Finance (MBA),Pokhara University,2 years
362,Bachelor in Nursing Science (BNS),Kathmandu University,4 years
363,Post Graduate Diploma in Women Studies,Tribhuvan University,1 year
364,MSc in Mathematics,Tribhuvan University,2 years
365,MA in Buddhism and Himalayan Studies,Lumbini Buddhist University,2 years
366,Bachelor of Nursing Science (BNS),Tribhuvan University,3 years
367,Bachelor of Civil Engineering (BE Civil),Far-Western University,4 years
368,MD Clinical Pharmacology,Tribhuvan University,3 years
369,Diploma in Survey Engineering-3yrs,CTEVT,3 years
370,Diploma in Survey Engineering-2yrs,CTEVT,2 years
371,BSc Nursing,BPKIHS,4 years
372,Bachelor of Computer Engineering (BE Computer),Pokhara University,4 years
373,Master of Engineering in Earthquake,Purbanchal University,2 years
374,MD Biochemistry,Kathmandu University,3 years
375,Pre-Diploma in Automobile Engineering (Automobile Sub-overseer),CTEVT,1 year 3 months
376,Post graduate Diploma in Population Studies,Tribhuvan University,10 months
377,MA in Population Studies,Tribhuvan University,2 years
378,PhD in Population Studies,Tribhuvan University,5 years
379,Diploma in Automobile Engineering,CTEVT,3 years
380,DM Cardiology,BPKIHS,3 years
381,Bachelor of Food Technology (BTech Food),Tribhuvan University,4 years
382,MSc in Urban Design and Conservation,Purbanchal University,2 years
383,PhD in Botany,Tribhuvan University,4 years
384,BSc in Environmental Management,Pokhara University,4 years
385,DM Cardiology,Kathmandu University,3 years
386,BSc in Computer Science,Kathmandu University,4 years
387,MD Biochemistry,Tribhuvan University,3 years
388,Bachelors in Veterinary Sciences and Animal Husbandry (BVSc&AH),Agriculture and Forestry University,5 years
389,ME in Structural Engineering,Kathmandu University,2 years
390,MPhil in Management,Kathmandu University,1 year 6 months
391,Diploma in Geomatics Engineering,CTEVT,3 years
392,MD Anaesthesiology,Kathmandu University,3 years
393,Master in International Cooperation and Development (MICD),Mid-West University,2 years
394,BSc (Hons) Computing,London Metropolitan University,3 years
395,Diploma in Ophthalmic Science,CTEVT,3 years
396,MA in Nepali (MA Nepali),Tribhuvan University,2 years
397,BSc Tea Technology and Management,Tribhuvan University,4 years
398,Post Graduate Diploma in Security Management (PGD),Kathmandu University,1 year
399,Post Graduate Diploma in Management (PGD),Kathmandu University,1 year
400,MA in International Relations and Diplomacy (MIR),Mid-West University,2 years
401,BSc Nursing,Purbanchal University,4 years
402,ME in Mechanical Engineering,Kathmandu University,2 years
403,Bachelor of Civil Engineering,Pokhara University,4 years
404,Bachelor (Hons) of Business Administration (BBA),Lincoln University College,4 years
405,Bachelor of Arts in Buddhist Studies with Himalayan Language,Kathmandu University,4 years
406,ME in Communication Engineering,Kathmandu University,2 years
407,Bachelor in Educational Sciences in Nepali (BES-Nepali),Mid-West University,4 years
408,MA in Development Economics (MDE),Mid-West University,2 years
409,MSc Nutrition and Dietetics,Purbanchal University,2 years
410,MCh Neurosurgery,Kathmandu University,3 years
411,Post Graduate Diploma in Counseling Psychology,Tribhuvan University,1 year
412,MD Microbiology,Kathmandu University,3 years
413,DM Nephrology,Kathmandu University,3 years
414,Bachelor of Arts in Social Work (BSW),Mid-West University,4 years
415,Bachelor of Arts in Rural Development (BRD),Tribhuvan University,4 years
416,Bachelor of Arts in Major English (BA Major English),Tribhuvan University,4 years
417,MCh Urology,Tribhuvan University,3 years
418,Bachelor of Arts in Sociology (BA Sociology),Tribhuvan University,4 years
419,XI Science - CBSE,CBSE Board (Class 1-12),2 years
420,XI Commerce - CBSE,CBSE Board (Class 1-12),2 years
421,XI Humanities - CBSE (CBSE),CBSE Board (Class 1-12),2 years
422,Certificate in Diagnostic Radiography,CTEVT,3 years
423,MCh Neurosurgery,National Academy of Medical Sciences,3 years
424,Master of Educational Sciences in Health and Physical Education,Mid-West University,4 years
425,Bachelor of Science (General) (BSc),Tribhuvan University,4 years
426,BA (Hons) Hospitality Management,UCSI University,4 years
427,Master of Educational Sciences in Nepali,Mid-West University,4 years
428,Bachelor of Arts in Music (BMus),Kathmandu University,4 years
429,MPhil in Mathematics,Kathmandu University,1 year 6 months
430,Master of Laws-LLM (2 Yrs) (LLM),Tribhuvan University,2 years
431,MCh Surgical Gastroenterology,Tribhuvan University,3 years
432,Bachelor of Civil and Rural Engineering (BE),Pokhara University,4 years 6 months
433,MA in Journalism and Mass Communication,Tribhuvan University,2 years
434,Diploma in Broadcasting Journalism,Purbanchal University,6 months
435,Bachelor of Architecture (B.Arch),Tribhuvan University,5 years
436,Bachelor of Social Work (BSW),Purbanchal University,4 years
437,Masterof Educational Sciences in Curriculum and Evaluation,Mid-West University,2 years
438,Bachelor of Dental Surgery (BDS),Kathmandu University,5 years 6 months
439,MD Internal Medicine,Kathmandu University,3 years
440,Post Graduate Diploma in Police Science,Tribhuvan University,1 year
441,MD Internal Medicine,National Academy of Medical Sciences,3 years
442,MEd in Information and Communication Technology Education (MEd ICTED),Tribhuvan University,2 years
443,MCh Cardiothoracic and Vascular Surgery,Tribhuvan University,3 years
444,MS Otorhinolaryngology,Kathmandu University,2 years
445,MS Anatomy,Kathmandu University,3 years
446,Master of Business Studies (MBS),Mid-West University,2 years
447,Master of Fine Arts (MFA),Tribhuvan University,2 years
448,MS by Research in Glaciology,Kathmandu University,2 years
449,Bachelor in Community Development (BCD),Kathmandu University,4 years
450,BSc Medical Laboratory Technology (BSCMLT),Pokhara University,4 years
451,"MA in Conflict, Peace and Development Studies",Tribhuvan University,2 years
452,BSc Geology,Tribhuvan University,4 years
453,BSc Medical Imaging Technology (BSc MIT),BPKIHS,4 years
454,MD Internal Medicine,Tribhuvan University,3 years
455,Bachelor of Fine Arts (BFA),Tribhuvan University,4 years
456,MSc in Renewable Energy Engineering,Tribhuvan University,2 years
